ImagePath,Type,ImageShape,ImageSize,Herbarium,Bord,Phyllotaxie,TypeFeuille,Ligneux,binaryBord,binaryPhyllotaxie,binaryTypeFeuille,binaryLigneux
Transformed_Dataset\Test\litsea\litsea080.jpg,Test,"(792, 512, 3)",1216512,litsea,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\magnolia\magnolia071.jpg,Test,"(792, 512, 3)",1216512,magnolia,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\magnolia\magnolia072.jpg,Test,"(792, 512, 3)",1216512,magnolia,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\magnolia\magnolia073.jpg,Test,"(792, 512, 3)",1216512,magnolia,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\magnolia\magnolia074.jpg,Test,"(792, 512, 3)",1216512,magnolia,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\magnolia\magnolia075.jpg,Test,"(792, 512, 3)",1216512,magnolia,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\magnolia\magnolia076.jpg,Test,"(792, 512, 3)",1216512,magnolia,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\magnolia\magnolia077.jpg,Test,"(792, 512, 3)",1216512,magnolia,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\magnolia\magnolia078.jpg,Test,"(792, 512, 3)",1216512,magnolia,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\magnolia\magnolia079.jpg,Test,"(792, 512, 3)",1216512,magnolia,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\magnolia\magnolia080.jpg,Test,"(792, 512, 3)",1216512,magnolia,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\monimiaceae\monimiaceae071.jpg,Test,"(792, 512, 3)",1216512,monimiaceae,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\monimiaceae\monimiaceae072.jpg,Test,"(792, 512, 3)",1216512,monimiaceae,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\monimiaceae\monimiaceae073.jpg,Test,"(792, 512, 3)",1216512,monimiaceae,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\monimiaceae\monimiaceae074.jpg,Test,"(792, 512, 3)",1216512,monimiaceae,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\monimiaceae\monimiaceae075.jpg,Test,"(792, 512, 3)",1216512,monimiaceae,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\monimiaceae\monimiaceae076.jpg,Test,"(792, 512, 3)",1216512,monimiaceae,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\monimiaceae\monimiaceae077.jpg,Test,"(792, 512, 3)",1216512,monimiaceae,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\monimiaceae\monimiaceae078.jpg,Test,"(792, 512, 3)",1216512,monimiaceae,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\monimiaceae\monimiaceae079.jpg,Test,"(792, 512, 3)",1216512,monimiaceae,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\monimiaceae\monimiaceae080.jpg,Test,"(792, 512, 3)",1216512,monimiaceae,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\rubus\rubus071.jpg,Test,"(792, 512, 3)",1216512,rubus,denté,alterné,composée,oui,1,1,1,1
Transformed_Dataset\Test\rubus\rubus072.jpg,Test,"(792, 512, 3)",1216512,rubus,denté,alterné,composée,oui,1,1,1,1
Transformed_Dataset\Test\rubus\rubus073.jpg,Test,"(792, 512, 3)",1216512,rubus,denté,alterné,composée,oui,1,1,1,1
Transformed_Dataset\Test\rubus\rubus074.jpg,Test,"(792, 512, 3)",1216512,rubus,denté,alterné,composée,oui,1,1,1,1
Transformed_Dataset\Test\rubus\rubus075.jpg,Test,"(792, 512, 3)",1216512,rubus,denté,alterné,composée,oui,1,1,1,1
Transformed_Dataset\Test\rubus\rubus076.jpg,Test,"(792, 512, 3)",1216512,rubus,denté,alterné,composée,oui,1,1,1,1
Transformed_Dataset\Test\rubus\rubus077.jpg,Test,"(792, 512, 3)",1216512,rubus,denté,alterné,composée,oui,1,1,1,1
Transformed_Dataset\Test\rubus\rubus078.jpg,Test,"(792, 512, 3)",1216512,rubus,denté,alterné,composée,oui,1,1,1,1
Transformed_Dataset\Test\rubus\rubus079.jpg,Test,"(792, 512, 3)",1216512,rubus,denté,alterné,composée,oui,1,1,1,1
Transformed_Dataset\Test\rubus\rubus080.jpg,Test,"(792, 512, 3)",1216512,rubus,denté,alterné,composée,oui,1,1,1,1
Transformed_Dataset\Test\ulmus\ulmus071.jpg,Test,"(792, 512, 3)",1216512,ulmus,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\ulmus\ulmus072.jpg,Test,"(792, 512, 3)",1216512,ulmus,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\ulmus\ulmus073.jpg,Test,"(792, 512, 3)",1216512,ulmus,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\ulmus\ulmus074.jpg,Test,"(792, 512, 3)",1216512,ulmus,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\ulmus\ulmus075.jpg,Test,"(792, 512, 3)",1216512,ulmus,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\ulmus\ulmus076.jpg,Test,"(792, 512, 3)",1216512,ulmus,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\ulmus\ulmus077.jpg,Test,"(792, 512, 3)",1216512,ulmus,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\ulmus\ulmus078.jpg,Test,"(792, 512, 3)",1216512,ulmus,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\ulmus\ulmus079.jpg,Test,"(792, 512, 3)",1216512,ulmus,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\ulmus\ulmus080.jpg,Test,"(792, 512, 3)",1216512,ulmus,denté,alterné,simple,oui,1,1,0,1
